table,field,meaning,baseline,current,referencePath,referenceValue,referenceKind,conversion,consumer,status,reason,source
Global,connectionTimeout,连接超时（秒）,20,20,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,GameplayConfig.Validate / PrototypeApp / PrototypeMatch,项目配置,项目资源或工程参数，无需按原作逐值替换,
Global,inputTimeout,输入失联停止（秒）,0.3,0.3,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,GameplayConfig.Validate / PrototypeApp / PrototypeMatch,项目配置,项目资源或工程参数，无需按原作逐值替换,
Global,snapshotChunkBytes,每个快照分块的最大字节数,4096,4096,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,GameplayConfig.Validate / PrototypeApp / PrototypeMatch,项目配置,项目资源或工程参数，无需按原作逐值替换,
Global,chunksPerFrame,每帧最多发送的快照块数,8,8,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,GameplayConfig.Validate / PrototypeApp / PrototypeMatch,项目配置,项目资源或工程参数，无需按原作逐值替换,
Global,checkpointStamps,触发滚动检查点的涂色事件数,512,512,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,GameplayConfig.Validate / PrototypeApp / PrototypeMatch,项目配置,项目资源或工程参数，无需按原作逐值替换,
Global,paintThreshold,地面归属阈值（0 到 1）,0.5,0.5,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,InkBrush.Coverage / SurfaceOwnershipGrid / InkTexturePainter.shader,保留项目基线；关联机制未通过证据门槛,项目覆盖算法参数，未取得原作一一对应依据,
Global,paintWorldUvScale,墨水细节坐标密度（UV/米），影响覆盖边缘,0.034424,0.034424,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,InkBrush.Coverage / SurfaceOwnershipGrid / InkTexturePainter.shader,保留项目基线；关联机制未通过证据门槛,项目覆盖算法参数，未取得原作一一对应依据,
Global,paintShapeNoiseScale,墨水轮廓噪声频率，CPU 与 GPU 共用,110,110,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,InkBrush.Coverage / SurfaceOwnershipGrid / InkTexturePainter.shader,保留项目基线；关联机制未通过证据门槛,项目覆盖算法参数，未取得原作一一对应依据,
Global,maxPaintMemoryMiB,涂色 RT 内存预算（MiB）,128,128,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,GameplayConfig.Validate / PrototypeApp / PrototypeMatch,项目配置,项目资源或工程参数，无需按原作逐值替换,
Global,simulationRate,玩法模拟和输入采样频率（Hz）,60,60,未确认直接字段,待核实（覆盖中缺失，不等于零）,无已确认对应；不是零,无已确认的对应换算,GameplayConfig.Validate / PrototypeApp / PrototypeMatch,项目配置,项目资源或工程参数，无需按原作逐值替换,
